ene,particle
0,1.00E+10
16.5702,843892000
20.3777,554508000
25.4442,347714000
29.2517,228478000
34.3131,150107000
40.6285,98604200
46.9388,67862900
54.503,46698900
64.5751,32125800
73.3831,24263300
83.445,18322500
93.507,13836200
103.564,10947000
114.875,8659770
126.185,6850450
137.491,5677740
148.802,4491470
160.108,3722590
171.408,3232540
182.714,2679170
195.263,2437130
206.564,2116310
219.119,1837450
230.419,1595560
242.969,1451420
254.264,1320490
266.814,1201200
278.109,1092840
290.659,994114
301.949,947593
314.499,861988
327.048,784116
338.339,747422
350.888,679900
363.433,647988
374.723,617665
387.273,561865
